,school_name,address,score,district,grade
52,Daggett Montessori,"801 West Jessamine Street, Fort Worth, TX 76110",6,Public district,K-8
53,High Country Elementary School,"1301 High Country Trail, Fort Worth, TX 76131",6,Public district,PK-5
54,Woodland Springs Elementary School,"12120 Woodland Springs Drive, Fort Worth, TX 76244",6,Public district,K-4
55,Parkwood Hill Intermediate School,"8201 Parkwood Hill Boulevard, Fort Worth, TX 76137",6,Public district,5-6
56,Prairie Vista,"8000 Comanche Springs Drive, Fort Worth, TX 76131",6,Public district,6-8
57,Parkview Elementary School,"6225 Crystal Lake Drive, Fort Worth, TX 76179",6,Public district,K-5
58,Chapel Hill Academy,"3131 Sanguinet Street, Fort Worth, TX 76107",6,Public charter,PK-5
59,Basswood Elementary School,"3100 Clay Mountain Trail, Fort Worth, TX 76137",6,Public district,K-5
60,O A Peterson,"2000 Winter Hawk Drive, Fort Worth, TX 76177",6,Public district,PK-5
61,John And Polly Townley Elementary School,"2200 McPherson Road, Fort Worth, TX 76140",6,Public district,PK-4
62,Chisholm Trail High School,"4800 Education Dr, Fort Worth, TX 76179",6,Public district,9-12
63,International Leadership Of Texas - Keller High School,"4201 Heritage Trace Parkway, Fort Worth, TX 76244",6,Public charter,9-12
64,Eagle Heights Elementary School,"6505 Lucerne Drive, Fort Worth, TX 76135",5,Public district,PK-4
65,Sycamore Elementary School,"1601 Country Manor Road, Fort Worth, TX 76134",5,Public district,PK-4
66,North Crowley High School,"9100 South Hulen Street, Fort Worth, TX 76123",5,Public district,9-12
67,Bryson Elementary School,"8601 Old Decatur Road, Fort Worth, TX 76179",5,Public district,PK-5
68,E Ray Elementary School,"7309 Sheridan Road, Fort Worth, TX 76134",5,Public district,PK-4
69,Lily B Clayton Elementary School,"2000 Park Place Avenue, Fort Worth, TX 76110",5,Public district,PK-5
70,East Handley Elementary School,"2617 Mims Street, Fort Worth, TX 76112",5,Public district,PK-5
71,North Hi Mount Elementary School,"3801 West 7th Street, Fort Worth, TX 76107",5,Public district,PK-5
72,Paschal High School,"3001 Forest Park Boulevard, Fort Worth, TX 76110",5,Public district,9-12
73,A M Pate Elementary School,"3800 Anglin Drive, Fort Worth, TX 76119",5,Public district,PK-5
74,Ridglea Hills Elementary School,"6817 Cumberland Road, Fort Worth, TX 76116",5,Public district,PK-5
75,Rosemont Middle School,"1501 West Seminary Drive, Fort Worth, TX 76115",5,Public district,7-8
76,J T Stevens Elementary School,"6161 Wrigley Way, Fort Worth, TX 76133",5,Public district,PK-5
77,Stripling Middle School,"2100 Clover Lane, Fort Worth, TX 76107",5,Public district,6-8
78,Trimble Technical High School,"1003 West Cannon Street, Fort Worth, TX 76104",5,Public district,9-12
79,Washington Heights Elementary School,"3215 North Houston Street, Fort Worth, TX 76106",5,Public district,PK-5
80,Western Hills High School,"3600 Boston Avenue, Fort Worth, TX 76116",5,Public district,9-12
81,Worth Heights Elementary School,"519 East Butler Street, Fort Worth, TX 76110",5,Public district,PK-5
82,Kirkpatrick Middle School,"3201 Refugio Avenue, Fort Worth, TX 76106",5,Public district,6-8
83,Chisholm Trail Intermediate School,"3901 Summerfields Boulevard, Fort Worth, TX 76137",5,Public district,5-6
84,Tannahill Intermediate School,"701 American Flyer Boulevard, Fort Worth, TX 76108",5,Public district,5-6
85,Cesar Chavez Primary School,"3710 Deen Road, Fort Worth, TX 76106",5,Public district,PK-5
86,Alice D Contreras,"4100 Lubbock Avenue, Fort Worth, TX 76115",5,Public district,PK-5
87,Lowery Road Elementary School,"7600 Lowery Road, Fort Worth, TX 76120",5,Public district,PK-5
88,Remington Point Elementary School,"6000 Old Decatur Road, Fort Worth, TX 76179",5,Public district,K-5
89,Dallas Park Elementary School,"8700 Viridian Lane, Fort Worth, TX 76123",5,Public district,PK-4
90,Dan Powell Intermediate School,"8875 Oak Grove Road, Fort Worth, TX 76140",5,Public district,5
91,Chisholm Ridge,"8301 Running River Lane, Fort Worth, TX 76131",5,Public district,K-5
92,Eagle Ridge Elementary School,"4600 Alta Vista Road, Fort Worth, TX 76244",5,Public district,K-4
93,Sue Crouch Intermediate School,"8036 Cedar Lake Lane, Fort Worth, TX 76123",5,Public district,5-6
94,Texas School Of The Arts,"3901 South Hulen Street, Fort Worth, TX 76109",5,Public charter,K-8
95,Summer Creek Middle School,"10236 Summer Creek Drive, Fort Worth, TX 76123",5,Public district,7-8
96,S High Crowley Intermediate School,"10525 McCart Avenue, Fort Worth, TX 76123",5,Public district,5-6
97,Ed Willkie Middle School,"6129 Texas Shiner Drive, Fort Worth, TX 76179",5,Public district,6-8
98,Caprock Elementary School,"12301 Grey Twig Drive, Fort Worth, TX 76244",5,Public district,K-4
99,A V Cato Elementary School,"4501 Barbara Road, Fort Worth, TX 76114",4,Public district,PK-5
100,Joy James Elementary School,"5300 Buchanan Street, Fort Worth, TX 76114",4,Public district,PK-5
101,Meadowcreek Elementary School,"2801 Country Creek Lane, Fort Worth, TX 76123",4,Public district,PK-4
102,Parkway Elementary School,"1320 West Everman Parkway, Fort Worth, TX 76134",4,Public district,PK-4
103,Arlington Heights High School,"4501 West Frwy Service Road South, Fort Worth, TX 76116",4,Public district,9-12
104,Manuel Jara Elementary School,"2100 Lincoln Avenue, Fort Worth, TX 76164",4,Public district,1-5
105,Diamond Hill Elementary School,"2000 Dewey Street, Fort Worth, TX 76106",4,Public district,PK-5
106,S S Dillow Elementary School,"4000 Avenue North, Fort Worth, TX 76105",4,Public district,PK-5
107,Christene C Moss Elementary School,"4108 Eastland Street, Fort Worth, TX 76119",4,Public district,PK-5
108,Elder Middle School,"709 Northwest 21st Street, Fort Worth, TX 76164",4,Public district,6-8
109,Glen Park Elementary School,"3601 Pecos Street, Fort Worth, TX 76119",4,Public district,PK-5
110,W M Green Elementary School,"4612 David Strickland Road, Fort Worth, TX 76119",4,Public district,PK-5
111,Van Zandt-Guinn Elementary School,"501 Missouri Avenue, Fort Worth, TX 76104",4,Public district,PK-5
112,Helbing Elementary School,"3524 North Crump Street, Fort Worth, TX 76106",4,Public district,PK-5
113,Hubbard Elementary School,"1333 West Spurgeon Street, Fort Worth, TX 76115",4,Public district,PK-5
114,Luella Merrett Elementary School,"7325 Kermit Avenue, Fort Worth, TX 76116",4,Public district,PK-5
115,Meadowbrook Elementary School,"4330 Meadowbrook Drive, Fort Worth, TX 76103",4,Public district,PK-5
116,Morningside Elementary School,"2601 Evans Avenue, Fort Worth, TX 76104",4,Public district,PK-5
117,Oaklawn Elementary School,"3220 Hardeman Street, Fort Worth, TX 76119",4,Public district,PK-5
118,Carroll Peak Elementary School,"1201 East Jefferson Avenue, Fort Worth, TX 76104",4,Public district,PK-5
119,M L Phillips Elementary School,"3020 Bigham Boulevard, Fort Worth, TX 76116",4,Public district,PK-5
120,Bruce Shulkey Elementary School,"5533 Whitman Avenue, Fort Worth, TX 76133",4,Public district,PK-5
121,South Hills Elementary School,"3009 Bilglade Road, Fort Worth, TX 76133",4,Public district,PK-5
122,Versia Williams Elementary School,"901 Baurline Street, Fort Worth, TX 76111",4,Public district,PK-5
123,Waverly Park Elementary School,"3604 Cimmaron Trail, Fort Worth, TX 76116",4,Public district,PK-5
124,Westcreek Elementary School,"3401 Walton Avenue, Fort Worth, TX 76133",4,Public district,PK-5
125,Western Hills Elementary School,"2805 Laredo Drive, Fort Worth, TX 76116",4,Public district,2-5
126,Parkview Elementary School,"6900 Bayberry Drive, Fort Worth, TX 76137",4,Public district,K-4
127,Brewer High School,"1025 West Loop 820 North, Fort Worth, TX 76108",4,Public district,9-12
128,Seminary Hills Park Elementary School,"5037 Townsend Drive, Fort Worth, TX 76115",4,Public district,PK-5
129,Lucyle Collins Middle School,"3651 Santos Drive, Fort Worth, TX 76106",4,Public district,7-8
130,Friendship Elementary School,"5400 Shiver Road, Fort Worth, TX 76244",4,Public district,K-4
131,Sidney H Poynter,"521 Ashdale Drive, Fort Worth, TX 76140",4,Public district,PK-4
132,Northbrook Elementary School,"2500 Cantrell Sansom Road, Fort Worth, TX 76131",4,Public district,PK-5
133,Hazel Harvey Peace Elementary School,"7421 Trail Lake Drive, Fort Worth, TX 76133",4,Public district,PK-5
134,Rosemont Park Elementary School,"1401 West Seminary Drive, Fort Worth, TX 76115",4,Public district,PK-5
135,The Olive Tree Montessori Academy,"8601 Randol Mill Road, Fort Worth, TX 76120",4,Public charter,PK-5
136,Harmony Science Academy- Fort Worth,"5651 Westcreek Drive, Fort Worth, TX 76133",4,Public charter,K-12
137,V R Eaton High School,"P O Box 77070, Fort Worth, TX 76177",4,Public district,9-12
138,Crowley Middle School,"3800 West Risinger Road, Fort Worth, TX 76123",3,Public district,7-8
139,Carter Park Elementary School,"1204 East Broadus Avenue, Fort Worth, TX 76115",3,Public district,PK-5
140,Carter-Riverside High School,"3301 Yucca Avenue, Fort Worth, TX 76111",3,Public district,9-12
141,Daggett Elementary School,"958 Page Avenue, Fort Worth, TX 76110",3,Public district,PK-5
142,Diamond Hill-Jarvis High School,"1411 Maydell Street, Fort Worth, TX 76106",3,Public district,9-12
143,Forest Oak Middle School,"3221 Pecos Street, Fort Worth, TX 76119",3,Public district,6-8
144,Greenbriar Elementary School,"1605 Grady Lee Street, Fort Worth, TX 76134",3,Public district,PK-5
145,James Middle School,"1101 Nashville Avenue, Fort Worth, TX 76105",3,Public district,6-8
146,Kirkpatrick Elementary School,"3229 Lincoln Avenue, Fort Worth, TX 76106",3,Public district,PK-5
147,Maude I Logan Elementary School,"2300 Dillard Street, Fort Worth, TX 76105",3,Public district,PK-5
148,Atwood Mcdonald Elementary School,"1850 Barron Lane, Fort Worth, TX 76112",3,Public district,PK-5
149,Meacham Middle School,"3600 Weber Street, Fort Worth, TX 76106",3,Public district,6-8
150,Meadowbrook Middle School,"2001 Ederville Road, Fort Worth, TX 76103",3,Public district,6-8
151,North Side High School,"2211 Mckinley Avenue, Fort Worth, TX 76164",3,Public district,9-12
152,Riverside Middle School,"1600 Bolton Street, Fort Worth, TX 76111",3,Public district,6-8
153,Sam Rosen Elementary School,"2613 Roosevelt Avenue, Fort Worth, TX 76164",3,Public district,PK-5
154,Southwest High School,"4100 Altamesa Boulevard, Fort Worth, TX 76133",3,Public district,9-12
155,Sunrise - Mcmillan Elementary School,"3409 Stalcup Road, Fort Worth, TX 76119",3,Public district,PK-5
156,W J Turner Elementary School,"3001 Azle Avenue, Fort Worth, TX 76106",3,Public district,PK-5
157,Maudrie Walton Elementary School,"5816 Rickenbacker Place, Fort Worth, TX 76112",3,Public district,PK-5
158,Wedgwood Middle School,"3909 Wilkie Way, Fort Worth, TX 76133",3,Public district,6-8
159,Bill J Elliott Elementary School,"2501 Cooks Lane, Fort Worth, TX 76120",3,Public district,PK-5
160,T A Sims Elementary School,"3500 Crenshaw Avenue, Fort Worth, TX 76105",3,Public district,PK-5
161,Success High School,"1003 West Cannon Street, Fort Worth, TX 76104",3,Public district,9-12
162,South Hills High School,"6101 McCart Avenue, Fort Worth, TX 76133",3,Public district,9-12
163,Heritage Elementary School,"4001 Thompson Road, Fort Worth, TX 76244",3,Public district,K-4
164,Dolores Huerta Elementary School,"3309 West Long Avenue, Fort Worth, TX 76106",3,Public district,PK-5
165,Mclean 6th Grade,"3201 South Hills Avenue, Fort Worth, TX 76109",3,Public district,6
166,Marine Creek Elementary School,"4801 Huffines Boulevard, Fort Worth, TX 76135",3,Public district,PK-4
167,Roy Johnson Sixth Grade Campus,"8901 Oak Grove Road, Fort Worth, TX 76140",3,Public district,6
168,Mary Harris Intermediate School,"8400 West Cleburne Road, Fort Worth, TX 76123",3,Public district,5-6
169,George Clarke Elementary School,"3300 South Henderson Street, Fort Worth, TX 76110",2,Public district,PK-5
170,Como Elementary School,"4000 Horne Street, Fort Worth, TX 76107",2,Public district,PK-5
171,Daggett Middle School,"1108 Carlock Street, Fort Worth, TX 76110",2,Public district,6-8
172,De Zavala Elementary School,"1419 College Avenue, Fort Worth, TX 76104",2,Public district,PK-5
173,Dunbar High School,"5700 Ramey Avenue, Fort Worth, TX 76112",2,Public district,9-12
174,Dunbar Middle School,"2501 Stalcup Road, Fort Worth, TX 76119",2,Public district,6-8
175,Eastern Hills Elementary School,"5917 Shelton Street, Fort Worth, TX 76112",2,Public district,PK-5
176,Eastern Hills High School,"5701 Shelton Street, Fort Worth, TX 76112",2,Public district,9-12
177,Glencrest 6th Grade School,"4801 Eastline Drive, Fort Worth, TX 76119",2,Public district,6
178,Handley Middle School,"2801 Patino Road, Fort Worth, TX 76112",2,Public district,6-8
179,Leonard Middle School,"8900 Chapin Road, Fort Worth, TX 76116",2,Public district,6-8
180,Mitchell Boulevard Elementary School,"3601 Mitchell Boulevard, Fort Worth, TX 76105",2,Public district,PK-5
181,Monnig Middle School,"3136 Bigham Boulevard, Fort Worth, TX 76116",2,Public district,6-8
182,Morningside Middle School,"2751 Mississippi Avenue, Fort Worth, TX 76104",2,Public district,6-8
183,O D Wyatt High School,"2400 East Seminary Drive, Fort Worth, TX 76119",2,Public district,9-12
184,Polytechnic High School,"1300 Conner Avenue, Fort Worth, TX 76105",2,Public district,"PK, 9-12"
185,Sagamore Hill Elementary School,"701 South Hughes Avenue, Fort Worth, TX 76103",2,Public district,PK-5
186,Wedgwood 6th Gr School,"4212 Belden Avenue, Fort Worth, TX 76132",2,Public district,6
187,Int'l Newcomer Academy,"7060 Camp Bowie West Boulevard, Fort Worth, TX 76116",2,Public district,6-12
188,I M Terrell Elementary School,"1411 I M Terrell Circle South, Fort Worth, TX 76102",2,Public district,PK-5
189,Woodway Elementary School,"6701 Woodway Drive, Fort Worth, TX 76133",2,Public district,PK-5
190,Rosemont 6th Grade,"3908 McCart Avenue, Fort Worth, TX 76110",2,Public district,6
191,Clifford Davis Elementary School,"4400 Campus Drive, Fort Worth, TX 76119",2,Public district,PK-5
192,Bluebonnet Elementary School,"7000 Teal Drive, Fort Worth, TX 76137",2,Public district,K-4
193,J A Hargrave Elementary School,"9200 Poynter Street, Fort Worth, TX 76123",2,Public district,PK-4
194,Marilyn Miller Elementary School,"5250 Estrella Street, Fort Worth, TX 76106",2,Public district,PK-4
195,Jean Mcclung Middle School,"100 North University Drive, Fort Worth, TX 76107",2,Public district,6-8
196,John T White Elementary School,"7300 John T White Road, Fort Worth, TX 76120",2,Public district,PK-5
197,David L Walker Intermediate School,"9901 Hemphill Street, Fort Worth, TX 76134",2,Public district,5-6
198,Boulevard Heights,"5100 El Campo Avenue, Fort Worth, TX 76107",1,Public district,PK-12
199,Rufino Mendoza Sr Elementary School,"1412 Denver Avenue, Fort Worth, TX 76164",1,Public district,1-5
200,Detent Center,"2701 Kimbo Road, Fort Worth, TX 76111",1,Public district,4-12
201,Jo Kelly Sp Ed,"201 North Bailey Avenue, Fort Worth, TX 76107",1,Public district,PK-12
202,West Handley Elementary School,"2749 Putnam Street, Fort Worth, TX 76112",1,Public district,PK-5
203,Transition Center,"5100 El Campo Avenue, Fort Worth, TX 76107",1,Public district,9-12
204,Richard Milburn Academy Fort Worth,"6785 Camp Bowie Boulevard, Fort Worth, TX 76116",1,Public charter,9-12
205,Elmer C Watson High School,"5900 Hereford Drive, Fort Worth, TX 76179",N/A,Public district,9-12
206,Willoughby House,"8100 West Elizabeth Lane, Fort Worth, TX 76116",N/A,Public district,6-12
207,Assessment Center,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,PK-12
208,Women's Haven,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,PK-12
209,Bridge Assoc,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,4-12
210,Sped Private/Homebound,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,PK-12
211,St Peter's Classical School,"7601 Bellaire Drive South, Fort Worth, TX 76132",N/A,Private,PK-12
212,All Saints' Catholic School - Fort Worth,"2006 N Houston St, Fort Worth, TX 76164",N/A,Private,PK-8
213,Cassata High School,"1400 Hemphill Street, Fort Worth, TX 76104",N/A,Private,9-12
214,Holy Family Catholic School,"6146 Pershing Avenue, Fort Worth, TX 76107",N/A,Private,PK-8
215,Nolan Catholic High School,"4501 Bridge Street, Fort Worth, TX 76103",N/A,Private,9-12
216,Our Lady Of Victory Catholic School,"3320 Hemphill Street, Fort Worth, TX 76110",N/A,Private,PK-8
217,Our Mother of Mercy,"1007 East Terrell Avenue, Fort Worth, TX 76104",N/A,Private,PK-8
218,St Andrew Catholic School,"3304 Dryden Road, Fort Worth, TX 76109",N/A,Private,PK-8
219,St George Catholic School,"824 Hudgins Avenue, Fort Worth, TX 76111",N/A,Private,PK-8
220,St. Rita Catholic School,"712 Weiler Blvd, Fort Worth, TX 76112",N/A,Private,PK-8
221,University Christian Church Weekday School,"2720 South University Drive, Fort Worth, TX 76109",N/A,Private,PK-K
222,Harvest Christian School,"7501 Crowley Road, Fort Worth, TX 76134",N/A,Private,K-8
223,St. Paul Lutheran School,"1800 West Fwy (I-30 at Summit), Fort Worth, TX 76102",N/A,Private,PK-8
224,Covenant Classical School,"1701 Wind Star Way, Fort Worth, TX 76108",N/A,Private,K-12
225,Temple Christian Schools,"6824 Randol Mill Rd, Fort Worth, TX 76120",N/A,Private,PK-12
226,Starpoint School,"Tcu Box 297410, Fort Worth, TX 76129",N/A,Private,1-6
227,Calvary Christian Academy,"1401 Oakhurst Scenic Drive, Fort Worth, TX 76111",N/A,Private,PK-12
228,Light Of The World School,"8750 Old Denton Road, Fort Worth, TX 76244",N/A,Private,PK-K
229,Hill School Of Fort Worth,"4817 Odessa Avenue, Fort Worth, TX 76133",N/A,Private,2-12
230,Lake Country Christian School,"7050 Lake Country Drive, Fort Worth, TX 76179",N/A,Private,PK-12
231,Fellowship Christian Academy,"1140 Morrison Drive, Fort Worth, TX 76120",N/A,Private,PK-12
232,Fort Worth Academy,"7301 Dutch Branch Road, Fort Worth, TX 76132",N/A,Private,K-8
233,Bethesda Christian School,"4700 N Beach St, Fort Worth, TX 76137",N/A,Private,K-12
234,The Jane Justin School,"1300 West Lancaster Avenue, Fort Worth, TX 76102",N/A,Private,n/a
235,West Academy,"3825 McCart Avenue, Fort Worth, TX 76110",N/A,Private,9-12
236,Ambassadors of Christ Chr. Ac.,"5430 Miller Ave, Fort Worth, TX 76119",N/A,Private,PK-12
237,Al-Hedayah Academy,"8601 Randol Mill Rd, Fort Worth, TX 76120",N/A,Private,PK-11
238,Ekklesia Christian School,"1200 Bessie Street, Fort Worth, TX 76104",N/A,Private,PK-6
239,Fort Worth Hebrew Day School,"4050 S. Hulen, Fort Worth, TX 76109",N/A,Private,PK-6
240,Key School,"3947 East Loop 820 South, Fort Worth, TX 76119",N/A,Private,n/a
241,Montessori Children's House,"3420 Clayton Road East, Fort Worth, TX 76116",N/A,Private,PK-6
242,Ft Worth Adventist Jr Academy,"3040 Sycamore School Road, Fort Worth, TX 76133",N/A,Private,PK-8
243,Ft Worth Save Our Children,"4215 Avenue M, Fort Worth, TX 76105",N/A,Private,PK-8
244,North West Christian Academy,"1704 Crooked Lane, Fort Worth, TX 76112",N/A,Private,4-12
245,Anderson Private School For The Gifted & Talented,"14900 White Settlement Road, Fort Worth, TX 76108",N/A,Private,n/a
246,Center For Creative Living Elementary School,"2401 Oakland Boulevard, Fort Worth, TX 76103",N/A,Private,PK-8
247,Glenview Christian School,"4805 Northeast Loop 820, Fort Worth, TX 76137",N/A,Private,PK-12
248,North Park Christian Academy,"7025 Mid Cities Boulevard, Fort Worth, TX 76182",N/A,Private,PK-3
249,Fort Worth Country Day School,"4200 Country Day Lane, Fort Worth, TX 76109",N/A,Private,K-12
250,Fort Worth Heritage Christian Academy,"P.O. Box 8512, Fort Worth, TX 76124",N/A,Private,PK-12
251,Southwest Christian School,"Prep Campus: 7001 Benbrook Lake Elementary Campus: 6801 Dan Danciger Road, Fort Worth, TX 76132",N/A,Private,PK-12
252,Fort Worth Christian School,"6200 Holiday Lane, Fort Worth, TX 76180",N/A,Private,PK-12
253,St Peter The Apostle School,"1201 South Cherry Lane, Fort Worth, TX 76108",N/A,Private,PK-8
254,Trinity Baptist Temple Academy,"6045 Wj Boaz Road, Fort Worth, TX 76179",N/A,Private,PK-12
255,All Saints' Episcopal School of Fort Worth,"9700 Saints Circle, Fort Worth, TX 76108",N/A,Private,PK-12
256,Mg Ellis,"215 Northeast 14th Street, Fort Worth, TX 76164",N/A,Public district,PK-2
257,Fw Rgnl Program For Deaf,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,PK-5
258,Western Hills Primary School,"8300 Mojave Trail, Fort Worth, TX 76116",N/A,Public district,PK-2
259,Trinity Valley School,"7500 Dutch Branch Road, Fort Worth, TX 76132",N/A,Private,K-12
260,Trinity Lutheran Childrens Center,"3621 Tulsa Way, Fort Worth, TX 76107",N/A,Private,PK
261,District Wide Middle School,"100 N University Dr, Fort Worth, TX 76107",N/A,Private,6-8
262,Adult Education,"1066 West Magnolia Avenue, Fort Worth, TX 76104",N/A,Public district,8-12
263,District Wide Elementary School,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,K-5
264,Greater Mount Tabor Christian Preschool,"2513 S Edgewood Ter, Fort Worth, TX 76105",N/A,Private,PK-K
265,Montessori At Sundance Square,"201 Jones Street, Fort Worth, TX 76102",N/A,Private,PK-K
266,Christian Cottage Prep,"5601 Bridge Street, Fort Worth, TX 76112",N/A,Private,5-8
267,Pk Satellite Centers,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,PK
268,Fort Worth Save Our Children,"4437 Arborwood Trl, Fort Worth, TX 76123",N/A,Private,PK-6
269,Miss Endy's Christian Academy,"5837 Humbert Avenue, Fort Worth, TX 76107",N/A,Private,PK-5
270,Christian Life Preparatory School,"6250 South Fwy, Fort Worth, TX 76134",N/A,Private,K-12
271,Ft Worth Montessori School,"6605 Dan Danciger Road, Fort Worth, TX 76133",N/A,Private,PK
272,Christian Cottage Prep,"6815 Manhattan Blvd.,  Fort Worth, TX 76120, Fort Worth, TX 76112",N/A,Private,3-9
273,Primrose School Of Parkwood Hill,"7451 Parkwood Hill Boulevard, Fort Worth, TX 76137",N/A,Private,PK-K
274,Primrose School of Eagle Ranch,"3125 Eagle Ranch Blvd, Fort Worth, TX 76179",N/A,Private,PK-K
275,Lil Goldman Early Learning Center,"4050 S Hulen St, Fort Worth, TX 76109",N/A,Private,PK-K
276,Ywca Child Development Center,"512 West 4th Street, Fort Worth, TX 76102",N/A,Private,PK
277,Abram Child Development,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
278,Arlington Ii Day Care Center,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK-K
