,Unnamed: 0,school_name,address,score,district,grade,lat,long
27,27,Jacinto City Elementary School,"10910 Wiggins Street, Houston, TX 77029",9.0,Public district,PK-5,29.765308,-95.23654599999999
28,28,Crockett Elementary School,"2112 Crockett Street, Houston, TX 77007",9.0,Public charter,PK-5,29.77406689999999,-95.380614
29,29,De Chaumes Elementary School,"155 Cooper Road, Houston, TX 77076",9.0,Public district,PK-5,29.861258,-95.377276
30,30,Field Elementary School,"703 East 17th Street, Houston, TX 77008",9.0,Public district,PK-5,29.8009509,-95.388808
31,31,Park Place Elementary School,"8235 Park Place Boulevard, Houston, TX 77017",9.0,Public district,PK-5,29.6887347,-95.27386709999999
32,32,Roberts Elementary School,"6000 Greenbriar Drive, Houston, TX 77030",9.0,Public district,PK-5,29.711803,-95.4116975
33,33,Travis Elementary School,"3311 Beauchamp Street, Houston, TX 77009",9.0,Public district,PK-5,29.7888933,-95.3746843
34,34,Twain Elementary School,"7500 Braes Boulevard, Houston, TX 77025",9.0,Public district,PK-5,29.6986164,-95.4380322
35,35,Lyons Elementary School,"800 Roxella Street, Houston, TX 77076",9.0,Public district,PK-5,29.8558513,-95.3663504
36,36,Project Chrysalis Middle School,"4528 Leeland Street, Houston, TX 77023",9.0,Public charter,6-8,29.7343457,-95.33328709999999
37,37,Meador Elementary School,"10701 Seaford Drive, Houston, TX 77089",9.0,Public district,PK-4,29.6143396,-95.2278984
38,38,Bunker Hill Elementary School,"11950 Taylorcrest, Houston, TX 77024",9.0,Public district,PK-5,29.773405,-95.5366035
39,39,Houston Gateway Academy,"3400 Evergreen Drive, Houston, TX 77087",9.0,Public charter,PK-12,29.6943682,-95.29410250000001
40,40,Briarmeadow Charter School,"3601 Dunvale Road, Houston, TX 77063",9.0,Public district,PK-8,29.726108,-95.51230299999999
41,41,The Varnett School - Northeast,"P O Box 1457, Houston, TX 77251",9.0,Public charter,PK-5,29.7,-95.53999999999999
42,42,South Belt Elementary School,"1801 Riverstone Ranch Road, Houston, TX 77089",9.0,Public district,K-4,29.5753012,-95.2453452
43,43,Harmony School Of Excellence,"7340 Gessner Road, Houston, TX 77040",9.0,Public charter,K-12,29.8812492,-95.539937
44,44,East Early College High School,"220 North Milby Street, Houston, TX 77003",9.0,Public charter,9-12,29.7526518,-95.3333773
45,45,Victory Early College High School,"2330 South Victory Street, Houston, TX 77088",9.0,Public district,9-12,29.8708456,-95.44511899999999
46,46,North Houston Early College High School,"99 Lyerly Street, Houston, TX 77022",9.0,Public charter,9-12,29.8348651,-95.3762235
47,47,Energized for Science Technology Engineering Middle School,"6107 Bissonnet Street, Houston, TX 77081",9.0,Public charter,6-8,29.69577799999999,-95.48938199999999
48,48,Houston Gateway Academy Inc Elite,"3400 Evergreen Drive, Houston, TX 77087",9.0,Public charter,PK-12,29.6943682,-95.29410250000001
49,49,Dr Cheryl Corbett Salyards,"P O Box 692003, Houston, TX 77269",9.0,Public district,6-8,29.95996999999999,-95.5587259
50,50,Univ Of Houston Charter School-Tech,"3855 Holman St Melcher Gym 100, Houston, TX 77204",8.0,Public charter,K-5,29.7251693,-95.34819329999999
51,51,Alief Montessori Community School,"12013 6th Street, Houston, TX 77072",8.0,Public charter,PK-5,29.712916,-95.5908436
52,52,Kipp Academy Middle,"6700 Bellaire Boulevard, Houston, TX 77074",8.0,Public charter,5-8,29.7059209,-95.50179890000001
53,53,Anderson Academy,"7401 Wheatley Street, Houston, TX 77088",8.0,Public district,1-3,29.8679868,-95.430306
54,54,Outley Elementary School,"12355 Richmond Avenue, Houston, TX 77082",8.0,Public district,PK-4,29.7287998,-95.5987236
55,55,Petrosky Elementary School,"6703 Winkleman Road, Houston, TX 77083",8.0,Public district,PK-4,29.704651,-95.65319500000001
56,56,Clear Lake City Elementary School,"1707 Fairwind Road, Houston, TX 77062",8.0,Public district,PK-5,29.5668876,-95.12118889999999
57,57,Clear Lake High School,"2929 Bay Area Boulevard, Houston, TX 77058",8.0,Public district,9-12,29.5822101,-95.1060931
58,58,North Pointe Elementary School,"3200 Almond Creek Drive, Houston, TX 77059",8.0,Public district,PK-5,29.6038137,-95.1364043
59,59,Copeland Elementary School,"18018 Forest Heights Drive, Houston, TX 77095",8.0,Public district,PK-5,29.8915101,-95.6823941
60,60,Pyburn Elementary School,"12302 Coulson Street, Houston, TX 77015",8.0,Public district,PK-5,29.76236729999999,-95.2207492
61,61,Tice Elementary School,"14120 Wallisville Road, Houston, TX 77049",8.0,Public district,PK-5,29.8039081,-95.1995142
62,62,Burbank Elementary School,"216 Tidwell Road, Houston, TX 77022",8.0,Public district,PK-5,29.8445361,-95.373176
63,63,De Zavala Elementary School,"7521 Avenue H, Houston, TX 77012",8.0,Public district,PK-5,29.7375156,-95.28908369999999
64,64,Herod Elementary School,"5627 Jason Street, Houston, TX 77096",8.0,Public district,PK-5,29.6834914,-95.4875086
65,65,Johnston Middle School,"10410 Manhattan Drive, Houston, TX 77096",8.0,Public district,6-8,29.6691877,-95.4743594
66,66,Kolter Elementary School,"9710 Runnymeade Drive, Houston, TX 77096",8.0,Public district,PK-5,29.6741279,-95.4677827
67,67,Lantrip Elementary School,"100 Telephone Road, Houston, TX 77023",8.0,Public district,PK-6,29.7402356,-95.3353444
68,68,Lovett Elementary School,"8814 South Rice Avenue, Houston, TX 77096",8.0,Public district,PK-5,29.683082,-95.46913599999999
69,69,Sharpstown International School,"8330 Triola Lane, Houston, TX 77036",8.0,Public district,6-12,29.6979058,-95.5312252
70,70,Sinclair Elementary School,"6410 Grovewood Lane, Houston, TX 77008",8.0,Public district,PK-5,29.7939377,-95.4285597
71,71,White Elementary School,"9001 Triola Lane, Houston, TX 77036",8.0,Public district,PK-5,29.6959688,-95.54310339999999
72,72,Cage Elementary School,"4528 Leeland Street, Houston, TX 77023",8.0,Public charter,PK-5,29.7343457,-95.33328709999999
73,73,Woodland Hills Elementary School,"2222 Tree Lane, Houston, TX 77339",8.0,Public district,PK-5,30.0591453,-95.21335959999999
74,74,Atkinson Elementary School,"9602 Kingspoint Road, Houston, TX 77075",8.0,Public district,PK-4,29.608452,-95.23964199999999
75,75,Moore Elementary,"8880 South Bluff, Houston, TX 77089",8.0,Public district,PK-5,29.592551,-95.2479654
76,76,Hunters Creek Elementary School,"10650 Beinhorn Road, Houston, TX 77024",8.0,Public district,PK-5,29.7787443,-95.4968457
77,77,Memorial High School,"935 Echo Lane, Houston, TX 77024",8.0,Public district,9-12,29.7805191,-95.52388959999999
78,78,La Amistad Love & Learning Academy,"10860 Rockley Road, Houston, TX 77099",8.0,Public charter,PK-5,29.6657231,-95.57116839999999
79,79,Beatrice Mayes Institute Charter S,"5807 Calhoun Road, Houston, TX 77021",8.0,Public charter,K-8,29.6998313,-95.3457505
80,80,Westchester Academy For Internatio,"901 Yorkchester Drive, Houston, TX 77079",8.0,Public charter,6-12,29.7808974,-95.582655
81,81,Danish Elementary School,"11850 Fallbrook Drive, Houston, TX 77065",8.0,Public district,PK-5,29.9318821,-95.59909239999999
82,82,West Briar Middle School,"13733 Brimhurst Drive, Houston, TX 77077",8.0,Public district,6-8,29.7600299,-95.63012309999999
83,83,Aragon Middle School,"16823 Houston National Boulevard, Houston, TX 77095",8.0,Public district,6-8,29.9322006,-95.6650068
84,84,Harmony Science Academy,"9431 West Sam Houston Parkway South, Houston, TX 77099",8.0,Public charter,8-12,29.6812999,-95.55806869999999
85,85,Milton Cooper Elementary School,"18655 Imperial Valley Drive, Houston, TX 77073",8.0,Public district,PK-5,29.966346,-95.40343299999999
86,86,Arlyne & Alan Weber Elementary School,"11955 Blackhawk Boulevard, Houston, TX 77089",8.0,Public district,PK-5,29.5697755,-95.2231334
87,87,Texas Serenity Academy,"262 North Sam Houston Parkway East, Houston, TX 77060",8.0,Public charter,K-12,29.9397403,-95.4024898
88,88,Ser-Ninos Charter Middle School,"5815 Alder Drive, Houston, TX 77081",8.0,Public charter,6-8,29.717772,-95.479936
89,89,Mount Carmel Academy,"7155 Ashburn Street, Houston, TX 77061",8.0,Public charter,9-12,29.6607787,-95.3017515
90,90,Kipp Houston High School,"6700 Bellaire Boulevard, Houston, TX 77074",8.0,Public charter,9-12,29.7059209,-95.50179890000001
91,91,Kipp East End,"6700 Bellaire Boulevard, Houston, TX 77074",8.0,Public charter,PK-4,29.7059209,-95.50179890000001
92,92,Houston Gateway Academy - Coral Ca,"1020 Coral Street, Houston, TX 77012",8.0,Public charter,PK-12,29.7157325,-95.28868310000001
93,93,Yes Prep - West,"10535 Harwin Drive, Houston, TX 77036",8.0,Public charter,6-12,29.7155129,-95.55320069999999
94,94,Harmony School Of Discovery - Hous,"6270 Barker Cypress Road, Houston, TX 77084",8.0,Public charter,PK-12,29.864057,-95.68213519999999
95,95,KIPP Gulfton Middle School,"6700 Bellaire Boulevard, Houston, TX 77074",8.0,Public charter,5-8,29.7059209,-95.50179890000001
96,96,Harmony School Of Advancement - Hi,"3171 North Sam Houston Parkway West, Houston, TX 77038",8.0,Public charter,9-12,29.9367233,-95.4660916
97,97,Ischool High At University Park,"20515 State Highway 249, Houston, TX 77070",8.0,Public charter,9-12,29.9925817,-95.58265139999999
98,98,Baylor College Of Medicine Academy,"2610 Elgin Street, Houston, TX 77004",8.0,Public district,6-8,29.7325179,-95.3625621
99,99,South Early College High School,"1930 Airport Blvd, Houston, TX 77051",8.0,Public district,9-12,29.6407168,-95.39142439999999
100,100,Odom Elementary School,"14701 Henry Road, Houston, TX 77060",7.0,Public district,K-4,29.913884,-95.383735
101,101,Thompson Elementary School,"220 Casa Grande Drive, Houston, TX 77060",7.0,Public district,K-4,29.9221729,-95.40162869999999
102,102,Youngblood Intermediate School,"8410 Dairy View Lane, Houston, TX 77072",7.0,Public district,5-6,29.6874734,-95.5991966
103,103,Brookwood Elementary School,"16850 Middlebrook Drive, Houston, TX 77059",7.0,Public district,PK-5,29.6029058,-95.1068162
104,104,John F Ward Elementary School,"1440 Bouldercrest Drive, Houston, TX 77062",7.0,Public district,K-5,29.5820679,-95.1359319
105,105,Adam Elementary School,"11303 Honey Grove Lane, Houston, TX 77065",7.0,Public district,PK-5,29.938494,-95.614481
106,106,Holbrook Elementary School,"6402 Langfield Road, Houston, TX 77092",7.0,Public district,PK-5,29.8572832,-95.499372
107,107,Matzke Elementary School,"13102 Jones Road, Houston, TX 77070",7.0,Public district,PK-5,29.9641743,-95.584536
108,108,Post Elementary School,"7600 Equador Street, Houston, TX 77040",7.0,Public district,PK-5,29.8830924,-95.5517308
109,109,Moore Elementary School,"13734 Lakewood Forest Drive, Houston, TX 77070",7.0,Public district,PK-5,29.9780423,-95.5958331
110,110,Wilson Elementary School,"18015 Kieth Harrow Boulevard, Houston, TX 77084",7.0,Public district,PK-5,29.84743539999999,-95.6766148
111,111,Cook Middle School,"9111 Wheatland Drive, Houston, TX 77064",7.0,Public district,6-8,29.906073,-95.5685975
112,112,Cimarron Elementary School,"816 Cimarron Street, Houston, TX 77015",7.0,Public district,PK-5,29.7809155,-95.19230739999999
113,113,Cloverleaf Elementary School,"1035 Frankie Street, Houston, TX 77015",7.0,Public district,PK-5,29.7765497,-95.17580489999999
114,114,Green Valley Elementary School,"13350 Woodforest Boulevard, Houston, TX 77015",7.0,Public district,PK-5,29.7918854,-95.1881599
115,115,Woodland Acres Elementary School,"12936 Sarahs Lane, Houston, TX 77015",7.0,Public district,PK-5,29.764973,-95.20050429999999
116,116,Cunningham Middle School,"14110 Wallisville Road, Houston, TX 77049",7.0,Public district,7-8,29.8025301,-95.2013425
117,117,James B Havard Elementary School,"15150 Wallisville Road, Houston, TX 77049",7.0,Public district,PK-5,29.8061935,-95.1715181
118,118,Purple Sage Elementary School,"6500 Purple Sage Road, Houston, TX 77049",7.0,Public district,PK-5,29.8186902,-95.1929057
119,119,Benbrook Elementary School,"4026 Bolin Road, Houston, TX 77092",7.0,Public district,PK-5,29.8268272,-95.4811395
120,120,Briargrove Elementary School,"6145 San Felipe Street, Houston, TX 77057",7.0,Public district,PK-5,29.749266,-95.4912499
121,121,Brookline Elementary School,"6301 South Loop East Freeway, Houston, TX 77087",7.0,Public district,PK-5,29.6976729,-95.3144561
122,122,Burbank Middle School,"315 Berry Road, Houston, TX 77022",7.0,Public district,6-8,29.8387757,-95.3706945
123,123,Cornelius Elementary School,"7475 Westover Street, Houston, TX 77087",7.0,Public district,PK-5,29.6774492,-95.2943343
124,124,Harvard Elementary School,"810 Harvard Street, Houston, TX 77007",7.0,Public district,PK-5,29.7860993,-95.39600539999999
125,125,Osborne Elementary School,"800 Ringold Street, Houston, TX 77088",7.0,Public charter,PK-5,29.8757258,-95.4164948
126,126,Parker Elementary School,"10626 Atwell Drive, Houston, TX 77096",7.0,Public district,PK-5,29.66553559999999,-95.4830511
127,127,Poe Elementary School,"5100 Hazard Street, Houston, TX 77098",7.0,Public district,PK-5,29.7272154,-95.40784649999999
128,128,Southmayd Elementary School,"1800 Coral Street, Houston, TX 77012",7.0,Public district,PK-5,29.7100127,-95.2892684
129,129,Sutton Elementary,"7402 Albacore Drive, Houston, TX 77074",7.0,Public district,PK-5,29.697573,-95.502106
130,130,Law Enfcmt-Crim Just High School,"4701 Dickson Street, Houston, TX 77007",7.0,Public district,9-12,29.7646652,-95.40757099999999
131,131,Sanchez Elementary School,"2700 Berkley Street, Houston, TX 77012",7.0,Public district,PK-5,29.702628,-95.284531
132,132,T High Rogers School,"5840 San Felipe Street, Houston, TX 77057",7.0,Public district,PK-12,29.7504193,-95.48104169999999
133,133,Rice School /La Escuela Rice,"7550 Seuss Drive, Houston, TX 77025",7.0,Public district,K-8,29.6977831,-95.4206977
134,134,Valley West Elementary School,"10707 South Gessner Road, Houston, TX 77071",7.0,Public district,PK-5,29.6634104,-95.5261858
135,135,Beverly Hills Intermediate School,"11111 Beamer Road, Houston, TX 77089",7.0,Public district,7-8,29.60715,-95.2262506
136,136,Frazier Elementary School,"10503 Hughes Road, Houston, TX 77089",7.0,Public district,PK-4,29.5888034,-95.22723479999999
137,137,Thompson Intermediate School,"11309 Sagedowne Lane, Houston, TX 77089",7.0,Public district,7-8,29.59565599999999,-95.2153699
138,138,Stratford High School,"14555 Fern Street, Houston, TX 77079",7.0,Public district,9-12,29.7702006,-95.59768989999999
139,139,Valley Oaks Elementary School,"8390 Westview Drive, Houston, TX 77055",7.0,Public district,PK-5,29.7957095,-95.49459139999999
140,140,Pat Reynolds Elementary School,"3975 Gladeridge Drive, Houston, TX 77068",7.0,Public district,PK-5,29.997888,-95.4960153
141,141,Houston Heights Learning Academy I,"902 West 8th Street, Houston, TX 77007",7.0,Public charter,PK-5,29.7846047,-95.4064528
142,142,Falcon Pass Elementary School,"2465 Falcon Pass Dr, Houston, TX 77062",7.0,Public district,PK-5,29.5764646,-95.11144650000001
143,143,Gleason Elementary School,"9202 Willowbridge Park Boulevard, Houston, TX 77064",7.0,Public district,PK-5,29.9021719,-95.5583161
144,144,Jean & Betty Schmalz Elementary School,"18605 Green Land Way, Houston, TX 77084",7.0,Public district,PK-5,29.82005299999999,-95.68981
145,145,Yes Prep - Southeast,"353 Crenshaw Road, Houston, TX 77034",7.0,Public charter,6-12,29.6394464,-95.2070577
146,146,Yes Prep - North Central,"13703 Aldine Westfield Road, Houston, TX 77039",7.0,Public charter,6-12,29.9141558,-95.35642969999999
147,147,Ketelsen Elementary School,"600 Quitman Street, Houston, TX 77009",7.0,Public district,PK-5,29.7808256,-95.362482
148,148,Dr Shirley J Williamson Elementary School,"6720 New Forest Parkway, Houston, TX 77049",7.0,Public district,PK-5,29.8210444,-95.176935
149,149,Accelerated Interdisciplinary Academy,"P O Box 20589, Houston, TX 77225",7.0,Public charter,PK-6,29.6928274,-95.4175727
150,150,Melillo Middle School,"9220 Hughes Road, Houston, TX 77089",7.0,Public district,5-6,29.5827407,-95.24782979999999
151,151,Yes Prep - Southwest,"4411 Anderson Road, Houston, TX 77053",7.0,Public charter,6-12,29.605588,-95.443232
152,152,Hines-Caldwell,"5515 West Orem Drive, Houston, TX 77085",7.0,Public district,PK-5,29.6268787,-95.4723111
153,153,Ray Daily Elementary School,"12909 Briar Forest Drive, Houston, TX 77077",7.0,Public district,PK-6,29.7538903,-95.6156144
154,154,Stepping Stones Charter Elementary School,"11250 South wilcrest Drive, Houston, TX 77099",7.0,Public charter,PK-8,29.6569951,-95.5706941
155,155,Houston Academy For International,"1810 Stuart Street, Houston, TX 77004",7.0,Public charter,9-12,29.7368575,-95.37004069999999
156,156,Sam Houston Elementary School,"4101 E Sam Houston Pkwy N, Houston, TX 77015",7.0,Public district,PK-5,29.7858906,-95.1602078
157,157,Kipp Sharpstown College Preparator,"6700 Bellaire Boulevard, Houston, TX 77074",7.0,Public charter,5-8,29.7059209,-95.50179890000001
158,158,Energized For Stem Academy West High School,"6107 Bissonnet Street, Houston, TX 77081",7.0,Public charter,9-12,29.69577799999999,-95.48938199999999
159,159,Kipp Voyage Academy For Girls,"6700 Bellaire Boulevard, Houston, TX 77074",7.0,Public charter,6-8,29.7059209,-95.50179890000001
160,160,Harmony School Of Innovation - Hou,"9421 West Sam Houston Parkway South, Houston, TX 77099",7.0,Public charter,6-8,29.6817955,-95.55785619999999
161,161,Harmony Science Academy - Houston,"16200 Tomball Parkway, Houston, TX 77086",7.0,Public charter,PK-12,29.9440362,-95.5242303
162,162,Young Men's College Preparatory Ac,"1510 Jensen Drive, Houston, TX 77020",7.0,Public district,6-12,29.774769,-95.341166
163,163,Young Women's College Prep Academy,"1906 Cleburne Street, Houston, TX 77004",7.0,Public district,6-12,29.7311348,-95.374236
164,164,Early College Academy At Southridge,"1001 Southridge Rd, Houston, TX 77090",7.0,Public district,9-12,29.9959521,-95.4775015
165,165,Arrow Academy - Harvest Preparator,"17770 Imperial Valley Drive, Houston, TX 77060",7.0,Public charter,K-5,29.9549289,-95.39827380000001
166,166,Harmony School Of Exploration- Hou,"9305 West Sam Houston Parkway South, Houston, TX 77099",7.0,Public charter,K-5,29.6830969,-95.5580409
167,167,Energy Institute High School,"812 West 28th Street, Houston, TX 77008",7.0,Public district,9,29.8115282,-95.4132692
168,168,Two Dimensions Preparatory Academy,"12121 Veterans Memorial Drive, Houston, TX 77067",6.0,Public charter,PK-8,29.96209349999999,-95.48011400000001
169,169,Grantham Academy,"13300 Chrisman Road, Houston, TX 77039",6.0,Public district,7-8,29.9070402,-95.36279859999999
170,170,Liestman Elementary School,"7610 Synott Road, Houston, TX 77083",6.0,Public district,PK-4,29.6929526,-95.615676
171,171,O'donnell Middle School,"14041 Alief Clodine Road, Houston, TX 77082",6.0,Public district,7-8,29.7104448,-95.6329214
172,172,Holub Middle School,"9515 South Dairy Ashford Road, Houston, TX 77099",6.0,Public district,7-8,29.6730544,-95.60270609999999
173,173,Albright Middle School,"6315 Winkleman Road, Houston, TX 77083",6.0,Public district,7-8,29.7089938,-95.65359099999999
174,174,Budewig Intermediate School,"12570 Richmond Avenue, Houston, TX 77082",6.0,Public district,5-6,29.7315089,-95.604007
175,175,Armand Bayou Elementary School,"16000 Hickory Knoll Drive, Houston, TX 77059",6.0,Public district,PK-5,29.5935573,-95.1147001
176,176,G. H.  Whitcomb Elementary School,"900 Reseda Drive, Houston, TX 77062",6.0,Public district,PK-5,29.559797,-95.129724
177,177,Space Center Int,"17400 Saturn Lane, Houston, TX 77058",6.0,Public district,6-8,29.5565783,-95.10674920000001
178,178,Bleyl Middle School,"10800 Mills Road, Houston, TX 77070",6.0,Public district,6-8,29.9624675,-95.5818723
179,179,Yeager Elementary School,"13615 Champion Forest Drive, Houston, TX 77069",6.0,Public district,PK-5,29.9881058,-95.5217665
180,180,Willbern Elementary School,"10811 Goodspring Drive, Houston, TX 77064",6.0,Public district,PK-5,29.921891,-95.56132199999999
181,181,Lowery Elementary School,"15950 Northridge Park Drive, Houston, TX 77073",6.0,Public district,PK-5,29.98999629999999,-95.4049529
182,182,Labay Middle School,"15435 Willow River Drive, Houston, TX 77095",6.0,Public district,6-8,29.895846,-95.6426128
183,183,Holmsley Elementary School,"7315 Hudson Oaks Drive, Houston, TX 77095",6.0,Public district,PK-5,29.88568739999999,-95.6764889
184,184,Bang Elementary School,"8900 Rio Grande Drive, Houston, TX 77064",6.0,Public district,PK-5,29.902327,-95.5732977
185,185,Mission Bend Elementary School,"16200 Beechnut Street, Houston, TX 77083",6.0,Public district,PK-5,29.6899267,-95.67306070000001
186,186,Arizona Fleming Elementary School,"14850 Bissonnet Street, Houston, TX 77083",6.0,Public district,PK-5,29.6770903,-95.6502311
187,187,North Shore Elementary School,"14310 Duncannon Drive, Houston, TX 77015",6.0,Public district,PK-5,29.7924045,-95.16904009999999
188,188,North Shore Middle School,"120 Castlegory Road, Houston, TX 77015",6.0,Public district,7-8,29.804085,-95.1747434
189,189,Bell Elementary School,"12323 Shaftsbury Drive, Houston, TX 77031",6.0,Public district,PK-5,29.643724,-95.54914099999999
190,190,Briscoe Elementary School,"321 Forest Hill Boulevard, Houston, TX 77011",6.0,Public district,PK-6,29.7309466,-95.2984429
191,191,Burnet Elementary School,"5403 Canal Street, Houston, TX 77011",6.0,Public district,PK-6,29.74605399999999,-95.31855399999999
192,192,Eliot Elementary School,"6411 Laredo Street, Houston, TX 77020",6.0,Public district,PK-5,29.781173,-95.306309
193,193,Franklin Elementary School,"7101 Canal Street, Houston, TX 77011",6.0,Public district,PK-6,29.7391312,-95.29748939999999
194,194,Frost Elementary School,"5002 Almeda-Genoa Road, Houston, TX 77048",6.0,Public district,PK-5,29.6201963,-95.336416
195,195,Hamilton Middle School,"139 East 20th Street, Houston, TX 77008",6.0,Public district,6-8,29.8051657,-95.39798739999999
196,196,Harris J R Elementary School,"801 Broadway Street, Houston, TX 77012",6.0,Public district,PK-5,29.71875979999999,-95.27756989999999
197,197,Janowski Elementary School,"7500 Bauman Road, Houston, TX 77022",6.0,Public district,PK-5,29.8301954,-95.3707037
198,198,Jones High School,"7414 Saint Lo Road, Houston, TX 77033",6.0,Public district,9-12,29.6750835,-95.3423186
199,199,Macgregor El,"4801 La Branch Street, Houston, TX 77004",6.0,Public district,PK-5,29.728164,-95.38078
200,200,Pershing Middle School,"3838 Blue Bonnet Boulevard, Houston, TX 77025",6.0,Public district,6-8,29.7019686,-95.43880419999999
201,201,Pilgrim Academy,"6302 Skyline Drive, Houston, TX 77057",6.0,Public district,PK-8,29.72905,-95.49367199999999
202,202,Pleasantville Elementary School,"1431 Gellhorn Drive, Houston, TX 77029",6.0,Public district,PK-5,29.7643281,-95.2719262
203,203,Red Elementary School,"4520 Tonawanda Drive, Houston, TX 77035",6.0,Public district,PK-5,29.666538,-95.45502900000001
204,204,Roosevelt Elementary School,"6700 Fulton Street, Houston, TX 77022",6.0,Public district,PK-5,29.818258,-95.373881
205,205,Sherman Elementary School,"1909 McKee Street, Houston, TX 77009",6.0,Public district,PK-5,29.7793784,-95.35258549999999
206,206,Wilson Montessori,"2100 Yupon Street, Houston, TX 77006",6.0,Public district,PK-8,29.74774469999999,-95.3989488
207,207,Windsor Village Elementary School,"14440 Polo Street, Houston, TX 77085",6.0,Public district,PK-5,29.6172762,-95.47110909999999
208,208,Stevenson Middle School,"9595 Winkler Drive, Houston, TX 77017",6.0,Public district,6-8,29.671023,-95.2448496
209,209,Carrillo Elementary School,"960 South Wayside Drive, Houston, TX 77023",6.0,Public district,PK-5,29.7283743,-95.3107776
210,210,Davila Elementary School,"7610 Dahlia Street, Houston, TX 77012",6.0,Public district,PK-5,29.713973,-95.284943
211,211,Maurice L Wolfe Elementary School,"502 Addicks-Howell Road, Houston, TX 77079",6.0,Public district,PK-5,29.7789326,-95.64245269999999
212,212,Mayde Creek J High School,"2700 Greenhouse Road, Houston, TX 77084",6.0,Public district,6-8,29.8073763,-95.7029379
213,213,Mayde Creek Elementary School,"2698 Greenhouse Road, Houston, TX 77084",6.0,Public district,PK-5,29.8056828,-95.702789
214,214,Wunderlich Intermediate School,"11800 Misty Valley Drive, Houston, TX 77066",6.0,Public district,6-8,29.9676851,-95.50207259999999
215,215,Kahla Middle School,"16212 West Little York Road, Houston, TX 77084",6.0,Public district,6-8,29.8663835,-95.66132359999999
216,216,Meadow Wood Elementary School,"14230 Memorial Drive, Houston, TX 77079",6.0,Public district,PK-5,29.7715035,-95.5965317
